Date,Open,High,Low,Close,Adj Close,Volume
2021-07-23,0.640000,0.640000,0.620000,0.630000,0.630000,1740600
2021-07-26,0.630000,0.660000,0.610000,0.610000,0.610000,1528700
2021-07-27,0.620000,0.620000,0.600000,0.610000,0.610000,2003500
2021-07-28,0.610000,0.620000,0.600000,0.610000,0.610000,1353600
2021-07-29,0.620000,0.630000,0.610000,0.630000,0.630000,1401700
2021-07-30,0.630000,0.630000,0.590000,0.600000,0.600000,4351100
2021-08-02,0.600000,0.620000,0.590000,0.600000,0.600000,2339000
2021-08-03,0.590000,0.630000,0.570000,0.630000,0.630000,3381300
2021-08-04,0.560000,0.600000,0.550000,0.560000,0.560000,7272700
2021-08-05,0.560000,0.570000,0.560000,0.560000,0.560000,2233500
2021-08-06,0.580000,0.580000,0.560000,0.560000,0.560000,1452500
2021-08-09,0.550000,0.550000,0.530000,0.540000,0.540000,3777000
2021-08-10,0.540000,0.570000,0.540000,0.570000,0.570000,2781300
2021-08-11,0.570000,0.570000,0.530000,0.540000,0.540000,3054800
2021-08-12,0.540000,0.550000,0.530000,0.540000,0.540000,2397500
2021-08-13,0.530000,0.540000,0.510000,0.520000,0.520000,2954500
2021-08-16,0.500000,0.510000,0.470000,0.490000,0.490000,6766000
2021-08-17,0.480000,0.490000,0.480000,0.490000,0.490000,2459500
2021-08-18,0.500000,0.510000,0.480000,0.490000,0.490000,2184400
2021-08-19,0.470000,0.470000,0.440000,0.450000,0.450000,4956400
2021-08-20,0.450000,0.460000,0.440000,0.460000,0.460000,3379800
2021-08-23,0.490000,0.500000,0.460000,0.480000,0.480000,5166300
2021-08-24,0.500000,0.500000,0.490000,0.490000,0.490000,2181300
2021-08-25,0.500000,0.540000,0.480000,0.520000,0.520000,5467700
2021-08-26,0.510000,0.520000,0.500000,0.510000,0.510000,2342600
2021-08-27,0.510000,0.540000,0.500000,0.540000,0.540000,2589500
2021-08-30,0.560000,0.560000,0.530000,0.530000,0.530000,2377800
2021-08-31,0.530000,0.550000,0.520000,0.540000,0.540000,1567900
2021-09-01,0.530000,0.540000,0.520000,0.540000,0.540000,1937600
2021-09-02,0.540000,0.570000,0.540000,0.560000,0.560000,3193800
2021-09-03,0.570000,0.610000,0.550000,0.580000,0.580000,6048500
2021-09-07,0.600000,0.620000,0.570000,0.580000,0.580000,3476200
2021-09-08,0.580000,0.590000,0.550000,0.550000,0.550000,2219600
2021-09-09,0.550000,0.570000,0.550000,0.560000,0.560000,1990400
2021-09-10,0.590000,0.600000,0.560000,0.570000,0.570000,2632100
2021-09-13,0.590000,0.610000,0.580000,0.600000,0.600000,5088100
2021-09-14,0.640000,0.640000,0.610000,0.610000,0.610000,5515500
2021-09-15,0.620000,0.690000,0.620000,0.650000,0.650000,6262600
2021-09-16,0.660000,0.660000,0.630000,0.640000,0.640000,3228500
2021-09-17,0.630000,0.640000,0.590000,0.590000,0.590000,4754900
2021-09-20,0.570000,0.590000,0.550000,0.570000,0.570000,4203700
2021-09-21,0.580000,0.590000,0.560000,0.570000,0.570000,1655800
2021-09-22,0.580000,0.600000,0.580000,0.600000,0.600000,2544600
2021-09-23,0.600000,0.640000,0.600000,0.640000,0.640000,5931100
2021-09-24,0.640000,0.700000,0.630000,0.670000,0.670000,7241500
2021-09-27,0.700000,0.750000,0.690000,0.720000,0.720000,8178700
2021-09-28,0.750000,0.770000,0.720000,0.720000,0.720000,7506200
2021-09-29,0.740000,0.740000,0.700000,0.720000,0.720000,5368300
2021-09-30,0.720000,0.750000,0.690000,0.740000,0.740000,5729300
2021-10-01,0.740000,0.770000,0.730000,0.760000,0.760000,6096200
2021-10-04,0.790000,0.840000,0.790000,0.810000,0.810000,15253300
2021-10-05,0.870000,1.010000,0.850000,0.970000,0.970000,72616500
2021-10-06,0.990000,1.000000,0.870000,0.900000,0.900000,31469000
2021-10-07,0.880000,0.930000,0.830000,0.900000,0.900000,18006500
2021-10-08,0.920000,0.940000,0.890000,0.910000,0.910000,8464000
2021-10-11,0.950000,0.960000,0.910000,0.940000,0.940000,9140600
2021-10-12,0.940000,0.940000,0.880000,0.900000,0.900000,5715600
2021-10-13,0.910000,0.910000,0.870000,0.900000,0.900000,7070900
2021-10-14,0.900000,0.910000,0.860000,0.880000,0.880000,5565500
2021-10-15,0.890000,0.900000,0.870000,0.880000,0.880000,5523100
2021-10-18,0.880000,0.890000,0.850000,0.860000,0.860000,5199400
2021-10-19,0.860000,0.870000,0.830000,0.860000,0.860000,5422400
2021-10-20,0.840000,0.860000,0.830000,0.850000,0.850000,3956100
2021-10-21,0.850000,0.850000,0.800000,0.810000,0.810000,6087200
2021-10-22,0.810000,0.900000,0.800000,0.890000,0.890000,7913200
2021-10-25,0.890000,0.930000,0.870000,0.890000,0.890000,5477600
2021-10-26,0.880000,0.960000,0.880000,0.940000,0.940000,10167200
2021-10-27,0.920000,0.940000,0.870000,0.890000,0.890000,4984000
2021-10-28,0.870000,0.890000,0.850000,0.890000,0.890000,3765300
2021-10-29,0.890000,0.920000,0.840000,0.920000,0.920000,4154800
2021-11-01,0.930000,1.010000,0.920000,0.990000,0.990000,15669700
2021-11-02,1.000000,1.010000,0.870000,0.920000,0.920000,10551500
2021-11-03,0.890000,0.900000,0.850000,0.870000,0.870000,6668200
2021-11-04,0.890000,0.900000,0.830000,0.860000,0.860000,4774200
2021-11-05,0.860000,0.870000,0.830000,0.870000,0.870000,3396000
2021-11-08,0.870000,0.880000,0.850000,0.870000,0.870000,3908700
2021-11-09,0.870000,0.870000,0.840000,0.850000,0.850000,3828100
2021-11-10,0.850000,0.870000,0.810000,0.830000,0.830000,3424600
2021-11-11,0.830000,0.890000,0.830000,0.890000,0.890000,4050100
2021-11-12,0.850000,0.890000,0.840000,0.890000,0.890000,3557400
2021-11-15,0.880000,0.880000,0.850000,0.870000,0.870000,3208600
2021-11-16,0.870000,0.870000,0.850000,0.860000,0.860000,2064500
2021-11-17,0.840000,0.860000,0.800000,0.820000,0.820000,5672800
2021-11-18,0.820000,0.840000,0.780000,0.810000,0.810000,2599900
2021-11-19,0.790000,0.800000,0.750000,0.760000,0.760000,4887400
2021-11-22,0.760000,0.790000,0.740000,0.760000,0.760000,3441100
2021-11-23,0.760000,0.780000,0.730000,0.760000,0.760000,3484500
2021-11-24,0.760000,0.790000,0.740000,0.790000,0.790000,2327700
